categoryID_1 | categoryName_1 | catalog_domain1 | categoryID_2 | categoryName_2 | itemsPorCategoria2 | catalog_domain2 | root2 | rootName2 | categoryID_3 | categoryName_3 | itemsPorCategoria3 | catalog_domain3 | root3 | rootName4 | categoryID_4 | categoryName_4 | itemsPorCategoria4 | catalog_domain4 | root4 | categoryID_5 | categoryName_5 | itemsPorCategoria5 | catalog_domain5 | root5 | rootName5 | categoryID_6 | categoryName_6 | itemsPorCategoria6 | catalog_domain6 | root6 | rootName6 | categoryID_7 | categoryName_7 | itemsPorCategoria7 | catalog_domain7 | root7 | rootName7 | timestamp
MLA5725 | Accesorios para Vehículos | MLA-LIGHT_VEHICLE_ACCESSORIES | MLA4711 | Acc. para Motos y Cuatriciclos | 131708 | MLA-MOTORCYCLE_ACCESSORIES | MLA5725 > MLA4711 | Accesorios para Vehículos > Acc. para Motos y Cuatriciclos | MLA86379 | Alarmas para Motos | 623 | MLA-BICYCLE_AND_MOTORCYCLE_ALARMS | MLA5725 > MLA4711 > MLA86379 | MLA5725 > MLA4711 > MLA11090 > Baúles Laterales | MLA86350 | Baúles Laterales | 1892 | MLA-MOTORCYCLE_CASES | MLA5725 > MLA4711 > MLA11090 > MLA86350 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 10/3/2023  16:37:43
MLA1512 | Agro | MLA-INDUSTRIAL_AND_COMMERCIAL_EQUIPMENT | MLA417044 | Accesorios Náuticos | 6100 | MLA-NAUTICAL_PARTS | MLA5725 > MLA417044 | Accesorios para Vehículos > Accesorios Náuticos | MLA434708 | Alforjas | 3018 | MLA-MOTORCYCLE_SADDLEBAGS | MLA5725 > MLA4711 > MLA434708 | MLA5725 > MLA4711 > MLA11090 > Baúles para Cuatriciclos | MLA432921 | Baúles para Cuatriciclos | 93 | MLA-ALL_TERRAIN_VEHICLE_BOXES | MLA5725 > MLA4711 > MLA11090 > MLA432921 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 10/3/2023  16:37:43
MLA1403 | Alimentos y Bebidas | MLA-FOODS_AND_DRINKS | MLA6520 | Accesorios de Auto y Camioneta | 224632 | MLA-LIGHT_VEHICLE_ACCESSORIES | MLA5725 > MLA6520 | Accesorios para Vehículos > Accesorios de Auto y Camioneta | MLA11090 | Baúles y Anclajes | 11118 | MLA-MOTORCYCLE_ACCESSORIES | MLA5725 > MLA4711 > MLA11090 | MLA5725 > MLA4711 > MLA11090 > Baúles para Delivery | MLA379646 | Baúles para Delivery | 220 | MLA-MOTORCYCLE_CASES | MLA5725 > MLA4711 > MLA11090 > MLA379646 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 10/3/2023  16:37:43
